FIPS,expected population,net migrants,migration rate
16031,23648,-606,-22.3
16033,1137,-152,-152.3
16035,8681,39,-21.80000000000002
16037,4343,0,87.6
16039,32919,-5805,-210.00000000000003
16041,12693,77,6.299999999999998
16043,13050,191,22.3
16045,15488,1179,45.69999999999999
16047,15138,389,42.3
16049,15374,822,76.1
16051,22426,3733,250.8
16053,20714,1790,134.29999999999998
16055,114846,23266,224.6
16057,36971,185,186.6
16059,7579,306,46.89999999999999
16061,3700,99,45.0
16063,4484,740,268.90000000000003
16065,34481,3060,467.7000000000001
16067,21763,-1591,-88.7
16069,37536,1646,19.5
16071,4309,-48,29.300000000000004
16073,11501,69,16.799999999999994
16075,21965,662,36.1
16077,8290,-436,-47.10000000000001
16079,13257,-553,-50.70000000000001
16081,7302,2891,596.5000000000001
16083,68855,8431,142.39999999999995
16085,8015,1799,531.9
16087,10050,131,-20.399999999999988
17001,67962,-1081,-38.90000000000001
17003,9692,-1422,-193.4
17005,17737,18,7.200000000000006
17007,45133,9125,276.1
17009,7049,-44,64.5
17011,35467,-588,-14.799999999999988
17013,4957,95,15.499999999999993
17015,16149,-832,-77.10000000000002
17017,13999,-343,-41.10000000000001
17019,191633,9489,197.60000000000005
17021,35124,-441,-19.8
17023,16731,-474,-35.3
17025,14277,-526,-52.40000000000001
17027,36294,1412,55.89999999999999
17029,53673,37,162.99999999999997
17031,5785960,-553086,-96.2
17033,20001,-219,-8.099999999999998
17035,11217,-221,-27.300000000000008
17037,94852,10352,233.00000000000009
17039,16772,-281,-28.0
17041,20767,-830,-42.99999999999999
17043,970076,-52607,-48.90000000000001
17045,19238,-751,-71.1
17047,6792,-112,11.000000000000002
17049,35474,-1359,-58.10000000000001
17051,21952,159,1.0999999999999983
17053,13724,293,0.4999999999999978
17055,38021,1366,31.800000000000004
17057,37390,-389,-23.1
17059,6179,-619,-127.8
17061,14598,-768,-65.5
17063,40163,9842,360.8
17065,8422,-12,7.400000000000002
17067,19999,-991,-64.09999999999998
17069,4565,-270,-95.9
17071,7960,-671,-109.8
17073,51136,-810,3.2999999999999936
17075,30689,-1081,-48.29999999999999
17077,61739,-1517,169.7
17079,10185,-532,-64.40000000000002
17081,40648,-1859,-68.70000000000002
17083,21760,1119,62.50000000000001
17085,22160,404,2.2999999999999936
17087,12933,-343,-21.800000000000004
17089,462812,55634,153.20000000000005
17091,108367,5229,46.39999999999999
17093,65136,49925,1166.9
17095,54555,-1695,-54.7
17097,708016,-2501,7.5
17101,14770,2097,245.1
17103,36116,-118,-5.000000000000002
17105,40581,-1694,-64.6
17107,31137,-856,-35.2
17109,32685,-166,259.2
17111,283769,24800,122.2
17115,116645,-5970,-66.8
17117,48415,-853,-22.0
17119,265614,3151,17.3
17121,41535,-2229,-82.1
17123,12690,-115,-33.7
17125,15704,-1110,-109.3
17127,15072,299,-5.299999999999999
17129,12541,96,25.1
17131,16954,-594,-19.200000000000006
17133,28446,4368,202.4
17135,30355,-316,-38.29999999999999
17137,36483,-1012,-42.1
17139,14091,691,25.999999999999996
17141,52218,1165,45.8
17143,192280,-5721,-26.8
17145,22834,-470,-15.100000000000007
17147,16562,84,49.3
17149,17056,-685,-58.4
17151,4207,232,82.80000000000003
17153,7283,-1116,-218.00000000000003
17155,6090,-120,4.899999999999997
17157,33797,-266,-27.50000000000001
17159,16067,90,-11.099999999999998
17161,154053,-6388,-57.2
17163,268671,2079,17.400000000000002
17165,25724,-906,-46.8
17167,195576,1579,19.000000000000004
17169,7087,427,93.5
17171,5552,-231,-47.6
17173,22615,-362,-15.300000000000002
17175,6152,-196,-45.3
17177,49194,-1591,-66.5
17179,131463,3503,38.20000000000001
17181,17972,-228,-27.4
17183,85504,-3882,-60.8
17185,13002,-1104,-104.2
17187,18654,-986,-47.10000000000001
17189,15197,-548,-33.7
17191,17026,-346,-34.7
17193,14675,-84,-34.9
17195,61414,-3005,-72.30000000000003
17197,563227,116375,275.9
17199,60899,5283,107.9
17201,293627,2003,7.399999999999999
17203,36187,2331,109.8
18001,36932,-2601,-100.0
